自治体コード,自治体名,親県コード,親県名,種別,収集ステータス,起点URL,備考
27140,堺市,27,大阪府,政令市,収集済,https://www.city.sakai.lg.jp/kenko/fukushikaigo/koreishafukushi/jigyo/jigyosha/kaigo-robot.html,M-09(市独自の申請募集ページ)
28100,神戸市,28,兵庫県,政令市,収集済,https://www.city.kobe.lg.jp/a46210/kenko/fukushi/carenet/kaigozinzai/ictsienn.html,M-06(社会福祉施設等ICT化推進)
33100,岡山市,33,岡山県,政令市,県事業カバー,https://www.pref.okayama.jp/page/1041750.html,岡山県事業でカバー(市のIoT/AI補助750万は中小企業向け・介護特化でない)
34100,広島市,34,広島県,政令市,県事業カバー,https://www.pref.hiroshima.lg.jp/soshiki/64/kaigotechnology2026.html,広島県定着支援事業でカバー(7/13-8/7)
40100,北九州市,40,福岡県,政令市,県事業カバー,https://www.pref.fukuoka.lg.jp/contents/kaigodx.html,福岡県事業でカバー(市は開発・導入実証事業＋支援センター=補助金型でない)
40130,福岡市,40,福岡県,政令市,収集済,https://www.city.fukuoka.lg.jp/fukushi/kaigohoken/health/00/05/R8chimitsu_chousa.html,M-04(大規模修繕併せ実施・令和8年度)
43100,熊本市,43,熊本県,政令市,県事業カバー,https://www.pref.kumamoto.jp/soshiki/32/269614.html,熊本県事業でカバー
13101,千代田区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13102,中央区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13103,港区,13,東京都,特別区,収集済,https://www.city.minato.tokyo.jp/kaigojigyoushien/robo.html,M-01として登録済
13104,新宿区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13105,文京区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13106,台東区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13107,墨田区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13108,江東区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13109,品川区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13110,目黒区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13111,大田区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13112,世田谷区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13113,渋谷区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13114,中野区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13115,杉並区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13116,豊島区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13117,北区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13118,荒川区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13119,板橋区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13120,練馬区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13121,足立区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
13122,葛飾区,13,東京都,特別区,収集済,https://www.city.katsushika.lg.jp/business/1000011/1000069/1005251/1035308.html,M-05(上限834300円/年度)
13123,江戸川区,13,東京都,特別区,県事業カバー,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,都事業でカバー(区独自は未確認)
