制度ID,都道府県,制度名,受付状況,申請締切,申請開始,補助率,補助上限,対象機器タグ,公式URL,確度,備考
P-16,富山県,介護テクノロジー導入支援事業,受付中,2026-08-19,2026-07-01,4/5,1事業所1700万(通所訪問系は9/10・1機器250万),ROB-01〜13/ICT-01〜09,https://www.pref.toyama.jp/1211/kurashi/kenkou/koureisha/hojyokin/technology.html,高,公式確認済(2026-07-12)・定着支援と生産性向上の2本立て
P-17,石川県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.ishikawa.lg.jp/ansin/ict-iot.html,中,集約ページ由来(7/3時点)・要一次確認
P-18,福井県,介護テクノロジー導入支援事業,受付中,2026-07-24,2026-06-19,4/5,単体688万/パッケージ900万(協働化1200万/G),ROB-01〜13/ICT-01〜09,https://www.pref.fukui.lg.jp/doc/kourei/hojyo.html,高,公式確認済(2026-07-12)
P-19,山梨県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.yamanashi.jp/chouju/technology_model.html,中,集約ページ由来(7/3時点)・要一次確認
P-20,長野県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.nagano.lg.jp/kaigo-shien/jinzai/kaigotech2025.html,中,集約ページ由来(7/3時点)・要一次確認
P-21,岐阜県,介護テクノロジー導入支援事業,受付前,2026-07-下旬,2026-07-下旬,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.gifu.lg.jp/page/130095.html,中,7月下旬募集開始予定
P-22,静岡県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.shizuoka.jp/kenkofukushi/koreifukushi/kaigohoken/1040743/1073268.html,中,集約ページ由来(7/3時点)・要一次確認
P-23,愛知県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.aichi.jp/soshiki/korei/kaigotekunorozi.html,中,集約ページ由来(7/3時点)・要一次確認
P-24,三重県,介護テクノロジー導入支援事業,終了,2026-07-06,2026-06-01,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.mie.lg.jp/CHOJUS/HP/m0072500225.htm,中,締切超過(7/11時点)
P-25,滋賀県,介護テクノロジー導入支援事業,受付中,2026-09-30,2026-07-07,4/5,パッケージ1000万/ソフト100〜250万(+付帯15万)・業務改善48万,ROB-01〜13/ICT-01〜09,https://www.pref.shiga.lg.jp/ippan/kenkouiryouhukushi/koureisya/351475.html,高,公式確認済(2026-07-12)・R8は351475.htmlに移行・交付要綱PDFから直接抽出・締切2026-09-30
P-26,京都府,介護テクノロジー導入支援事業,受付中,2026-08-07,2026-07-03,4/5,ソフト100〜250万(+定着15万/連携5万)・業務改善48万,ROB-01〜13/ICT-01〜09,https://www.pref.kyoto.jp/chiiki/news/r6kaogoroboict.html,高,公式確認済(2026-07-12)・手引きPDFから直接抽出・締切は事前協議
P-27,大阪府,介護テクノロジー導入支援事業,受付中,2026-07-13,2026-05-25,要確認,要確認(要綱PDF),ROB-01〜13/ICT-01〜09,https://www.pref.osaka.lg.jp/o090100/koreishisetsu/kaigo_technology/tech.html,中,公式ページ確認済(2026-07-11)・事前エントリー制・締切間近
P-28,兵庫県,介護テクノロジー導入支援事業,受付前,2026-09-上旬,2026-09-上旬,要確認,要確認,ROB-01〜13/ICT-01〜09,https://web.pref.hyogo.lg.jp/kf05/2024_robo_ict_hojo.html,中,申請見込額調査中
P-29,奈良県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.nara.lg.jp/n067/p000011.html,中,集約ページ由来(7/3時点)・要一次確認
P-30,和歌山県,介護テクノロジー導入支援事業,受付中,2026-07-31,2026-06-29,4/5,機器100万/台・ソフト100〜250万・ソフト+機器併せ400万/事業所・業務改善48万,ROB-01〜13/ICT-01〜09,https://www.pref.wakayama.lg.jp/prefg/040300/d00201773.html,高,公式確認済(2026-07-12)・手引きPDFから直接抽出
P-31,鳥取県,介護テクノロジー導入支援事業,受付中,2026-07-17,2026-06-12,4/5,パッケージ1000万(移乗/入力/インカム100万/機器・ソフト100〜250万),ROB-01〜13/ICT-01〜09,https://www.pref.tottori.lg.jp/313191.htm,高,公式確認済(2026-07-12)・事前申請
P-32,島根県,介護テクノロジー導入支援事業,受付中,2026-07-17,2026-05-25,4/5,パッケージ1000万/機器100万/ソフト100〜250万・業務改善48万・協働化1200万/G,ROB-01〜13/ICT-01〜09,https://www.pref.shimane.lg.jp/medical/fukushi/kourei/kaigo_hoken/hojokin/kaigo-tech.html,高,公式確認済(2026-07-12)・チラシPDFから直接抽出
P-33,岡山県,岡山県介護テクノロジー定着支援事業,受付中,2026-08-18,2026-07-08,4/5,パッケージ1000万/事業所・機器100万/台・ソフト100〜250万・業務改善48万,ROB-01〜13/ICT-01〜09,https://www.pref.okayama.jp/page/1041750.html,高,公式確認済(2026-07-12)・チラシPDFから直接抽出
P-34,広島県,介護テクノロジー導入支援事業,受付前,2026-08-07,2026-07-13,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.fukushiyogu-hiroshima.jp/tec_support_2026/,中,まもなく受付開始
P-35,山口県,介護テクノロジー導入支援事業,受付前,2026-11-30,2026-07-22,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.kaigo.pref.yamaguchi.lg.jp/cms/4100.html,中,まもなく受付開始
P-36,徳島県,介護テクノロジー導入支援事業,受付前,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.tokushima.lg.jp/jigyoshanokata/kenko/koreishafukushi/7313113/,中,要望調査実施中
P-37,香川県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.kagawa.lg.jp/choju/choju/jigyosya/kikin_hojyo.html,中,集約ページ由来(7/3時点)・要一次確認
P-38,愛媛県,介護テクノロジー導入支援事業,受付中,2026-07-17,2026-06-12,4/5,パッケージ1000万(ソフト100〜250万・業務改善48万),ROB-01〜13/ICT-01〜09,https://www.pref.ehime.jp/page/80580.html,高,"公式確認済(2026-07-12)・予算417,976千円・消印有効"
P-39,高知県,介護テクノロジー導入支援事業,受付中,2026-07-31,2026-06-17,4/5,1事業所1000万,ROB-01〜13/ICT-01〜09,https://www.pref.kochi.lg.jp/doc/2026061600100/,高,公式確認済(2026-07-12)・認証取得法人を優先採択
P-40,福岡県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.fukuoka.lg.jp/contents/kaigodx.html,中,集約ページ由来(7/3時点)・要一次確認
P-41,佐賀県,介護テクノロジー導入支援事業,終了,2026-06-22,2026-05-22,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.saga.lg.jp/kiji00368618/index.html,中,今年度受付終了
P-42,長崎県,介護テクノロジー導入支援事業,受付中,2026-07-31,2026-06-17,4/5,テクノロジー導入1000万/事業所・機器100万/ソフト100〜250万・協働化1200万/G・経営改善35万,ROB-01〜13/ICT-01〜09,https://www.pref.nagasaki.jp/doc/48428.html,高,公式確認済(2026-07-12)・募集チラシPDFから直接抽出
P-43,熊本県,介護テクノロジー導入支援事業,受付中,2026-07-21,2026-06-22,4/5,パッケージ1000万/事業所・機器100万/台・ソフト100〜250万(+付帯15万/連携5万)・業務改善48万,ROB-01〜13/ICT-01〜09,https://www.pref.kumamoto.jp/soshiki/32/269614.html,高,公式確認済(2026-07-12)・要綱PDFから直接抽出
P-44,大分県,介護テクノロジー導入支援事業,受付前,2026-08-31,2026-07-中旬,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.oita.jp/soshiki/12300/kaigotech2026.html,中,開始時期未確定
P-45,宮崎県,介護テクノロジー導入支援事業,受付中,2026-08-07,2026-07-06,4/5,パッケージ1000万/機器100万(その他30万)/ソフト100〜250万(+連携5万),ROB-01〜13/ICT-01〜09,https://www.pref.miyazaki.lg.jp/choju/kurashi/koresha/2025technology.html,高,公式確認済(2026-07-12)・募集要領PDFから直接抽出・先着順でない
P-46,鹿児島県,介護テクノロジー導入支援事業,受付前,2026-09-頃,2026-08-頃,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.kagoshima.jp/ae05/r8tekunoroji-/r8tekunoroji-.html,中,8〜9月開始予定
P-47,沖縄県,介護テクノロジー導入支援事業,受付中,2026-08-07,2026-07-01,4/5,パッケージ600万(定着促進で615万)/単体500万,ROB-09/ROB-01/ROB-02/ROB-12/ICT-05,https://www.pref.okinawa.lg.jp/kyoiku/kaigofukushi/1006708/1040463.html,高,公式確認済(2026-07-11)・見守り定員5割/インカム職員数上限
